GeneID	Symbol	Description_From_Search_Database	Ave.APSM	DN_Score	WDN_Score	Ratio	Found_In	Isoform	Active Form
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	2	2.25	2.11	4/65	2	I	Y
1891	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"	2	2.25	2.11	4/65	2	II	N
10455	ECI2	"Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial"	3	3.68	3.44	3/65	2	I	Y
10455	ECI2	"Isoform 2 of Enoyl-CoA delta isomerase 2, mitochondrial"	1	2.14	2.00	3/65	2	III	Y
1965	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	13	5.74	5.80	4/65	2	II	N
1968	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	1	2.12	1.99	3/65	2	II	N
8663	EIF3C	Eukaryotic translation initiation factor 3 subunit C	2	1.80	1.68	5/65	2	I	Y
8663	EIF3C	Eukaryotic translation initiation factor 3 subunit C	3	2.21	2.06	5/65	2	II	N
8663	EIF3C	Eukaryotic translation initiation factor 3 subunit C	2	1.82	1.70	5/65	2	III	Y
1993	ELAVL2	Isoform 2 of ELAV-like protein 2	2	1.29	1.20	7/65	2	I	Y
25793	FBXO7	Isoform 2 of F-box only protein 7	1	6.37	5.96	1/65	2	I	Y
2332	FMR1	Isoform 1 of Fragile X mental retardation 1 protein	1	1.06	0.99	6/65	2	I	Y
8139	GAN	Gigaxonin	16	25.39	23.09	1/65	2	I	N
9687	GREB1	Protein GREB1	2	4.50	4.21	2/65	2	I	Y
80000	GREB1L	Isoform 3 of GREB1-like protein	1	2.12	1.99	3/65	2	I	Y
3040	HBA2	Hemoglobin subunit alpha	2	1.00	0.94	9/65	2	II	N
3043	HBB	Hemoglobin subunit beta	2	9.00	8.48	1/65	2	III	N
8924	HERC2	E3 ubiquitin-protein ligase HERC2	75	6.90	8.33	8/65	2	I	Y
8924	HERC2	E3 ubiquitin-protein ligase HERC2	57	5.99	7.25	8/65	2	I	N
8924	HERC2	E3 ubiquitin-protein ligase HERC2	8	2.25	3.39	8/65	2	II	Y
8924	HERC2	E3 ubiquitin-protein ligase HERC2	93	7.68	9.27	8/65	2	II	N
8924	HERC2	E3 ubiquitin-protein ligase HERC2	61	6.28	7.73	8/65	2	III	Y
8924	HERC2	E3 ubiquitin-protein ligase HERC2	32	4.50	6.07	8/65	2	III	N
55662	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	1	3.18	2.98	2/65	2	I	Y
55662	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	3	5.51	5.16	2/65	2	II	N
55662	HIF1AN	Hypoxia-inducible factor 1-alpha inhibitor	2	4.55	4.24	2/65	2	III	Y
3493	IGHA1	Ig alpha-1 chain C region	4	6.37	6.00	2/65	2	III	N
3494	IGHA2	Ig alpha-2 chain C region	3	11.03	10.39	1/65	2	III	N
3514	IGKC	Ig kappa chain C region	4	6.37	6.00	2/65	2	III	N
28834	IGLC7	Ig lambda-7 chain C region	1	2.12	1.99	3/65	2	II	N
28834	IGLC7	Ig lambda-7 chain C region	2	3.00	2.83	3/65	2	III	N
3728	JUP	Uncharacterized protein	6	1.20	1.13	13/65	2	III	N
22992	KDM2A	Isoform 3 of Lysine-specific demethylase 2A	1	1.06	0.99	6/65	2	II	N
3860	KRT13	"Keratin, type I cytoskeletal 13"	12	3.15	2.97	7/65	2	III	N
3851	KRT4	"Keratin, type II cytoskeletal 4"	14	4.76	4.49	5/65	2	III	N
3854	KRT6B	"Keratin, type II cytoskeletal 6B"	5	1.19	1.11	12/65	2	II	Y
3854	KRT6B	"Keratin, type II cytoskeletal 6B"	13	1.91	1.80	12/65	2	III	N
319101	KRT73	"Isoform 2 of Keratin, type II cytoskeletal 73"	2	4.50	4.24	2/65	2	III	N
3895	KTN1	Isoform 2 of Kinectin	1	1.59	2.87	4/65	2	I	Y
3933	LCN1	Lipocalin-1	2	9.00	8.43	1/65	2	I	Y
3933	LCN1	Lipocalin-1	4	12.73	11.99	1/65	2	III	N
9663	LPIN2	Phosphatidate phosphatase LPIN2	2	8.98	8.16	1/65	2	I	N
4057	LTF	Lactotransferrin	5	14.24	13.41	1/65	2	III	N
23162	MAPK8IP3	C-Jun-amino-terminal kinase-interacting protein 3	2	2.25	2.11	4/65	2	I	Y
4173	MCM4	DNA replication licensing factor MCM4	1	2.14	2.00	3/65	2	III	Y
4175	MCM6	DNA replication licensing factor MCM6	5	7.19	6.70	2/65	2	III	Y
4507	MTAP	S-methyl-5'-thioadenosine phosphorylase	1	2.12	1.99	3/65	2	II	N
4507	MTAP	S-methyl-5'-thioadenosine phosphorylase	1	2.14	2.00	3/65	2	III	Y
79784	MYH14	Isoform 2 of Myosin-14	1	0.91	1.11	7/65	2	I	N
4627	MYH9	Myosin-9	6	0.38	1.21	41/65	2	II	Y
4646	MYO6	Uncharacterized protein	1	1.27	1.45	5/65	2	I	Y
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	9	4.77	4.47	4/65	2	I	Y
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	5	3.55	3.48	4/65	2	I	N
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	15	6.16	5.77	4/65	2	II	N
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	7	4.25	3.97	4/65	2	III	Y
84461	NEURL4	Isoform 2 of Neuralized-like protein 4	1	1.59	2.11	4/65	2	III	N
55922	NKRF	NF-kappa-B-repressing factor	9	1.59	1.49	12/65	2	I	Y
22984	PDCD11	Protein RRP5 homolog	2	1.13	1.18	8/65	2	I	Y
5304	PIP	Prolactin-inducible protein	1	1.06	0.99	6/65	2	I	Y
5304	PIP	Prolactin-inducible protein	2	1.50	1.41	6/65	2	III	N
728378	POTEF	POTE ankyrin domain family member F	4	3.21	3.00	4/65	2	III	Y
9128	PRPF4	Isoform 2 of U4/U6 small nuclear ribonucleoprotein Prp4	1	1.59	1.98	4/65	2	II	N
5682	PSMA1	Isoform Long of Proteasome subunit alpha type-1	14	1.04	1.72	23/65	2	I	Y
5682	PSMA1	Isoform Long of Proteasome subunit alpha type-1	19	1.21	1.92	23/65	2	I	N
5682	PSMA1	Isoform Long of Proteasome subunit alpha type-1	6	0.68	1.18	23/65	2	II	N
5682	PSMA1	Isoform Long of Proteasome subunit alpha type-1	10	0.89	1.49	23/65	2	III	Y
5682	PSMA1	Isoform Long of Proteasome subunit alpha type-1	5	0.62	1.09	23/65	2	III	N
5683	PSMA2	Proteasome subunit alpha type-2	13	1.21	1.62	19/65	2	I	Y
5683	PSMA2	Proteasome subunit alpha type-2	13	1.20	1.57	19/65	2	I	N
5683	PSMA2	Proteasome subunit alpha type-2	6	0.82	1.14	19/65	2	II	Y
5683	PSMA2	Proteasome subunit alpha type-2	5	0.75	1.06	19/65	2	II	N
5683	PSMA2	Proteasome subunit alpha type-2	10	1.07	1.45	19/65	2	III	Y
5683	PSMA2	Proteasome subunit alpha type-2	6	0.82	1.15	19/65	2	III	N
5684	PSMA3	Isoform 2 of Proteasome subunit alpha type-3	13	1.15	1.46	20/65	2	I	Y
5684	PSMA3	Isoform 2 of Proteasome subunit alpha type-3	19	1.38	1.84	20/65	2	I	N
5685	PSMA4	Proteasome subunit alpha type-4	10	0.91	1.03	22/65	2	I	Y
5685	PSMA4	Proteasome subunit alpha type-4	12	1.00	1.13	22/65	2	I	N
5686	PSMA5	Proteasome subunit alpha type-5	13	0.92	1.37	25/65	2	I	Y
5686	PSMA5	Proteasome subunit alpha type-5	17	1.05	1.52	25/65	2	I	N
5687	PSMA6	Proteasome subunit alpha type-6	14	0.77	1.26	31/65	2	I	Y
5687	PSMA6	Proteasome subunit alpha type-6	15	0.79	1.27	31/65	2	I	N
5688	PSMA7	Proteasome subunit alpha type-7	16	0.77	1.14	33/65	2	I	Y
5688	PSMA7	Proteasome subunit alpha type-7	16	0.77	1.11	33/65	2	I	N
5689	PSMB1	Proteasome subunit beta type-1	12	0.76	1.14	29/65	2	I	Y
5689	PSMB1	Proteasome subunit beta type-1	25	1.09	1.70	29/65	2	I	N
5689	PSMB1	Proteasome subunit beta type-1	11	0.73	1.10	29/65	2	III	Y
5690	PSMB2	Proteasome subunit beta type-2	10	1.12	1.44	18/65	2	I	Y
5690	PSMB2	Proteasome subunit beta type-2	12	1.22	1.52	18/65	2	I	N
5690	PSMB2	Proteasome subunit beta type-2	5	0.80	1.06	18/65	2	III	Y
5690	PSMB2	Proteasome subunit beta type-2	5	0.79	1.06	18/65	2	III	N
5691	PSMB3	Proteasome subunit beta type-3	13	0.88	1.61	26/65	2	I	Y
5691	PSMB3	Proteasome subunit beta type-3	14	0.91	1.62	26/65	2	I	N
5691	PSMB3	Proteasome subunit beta type-3	7	0.65	1.23	26/65	2	III	Y
5692	PSMB4	Proteasome subunit beta type-4	14	0.99	1.51	24/65	2	I	Y
5692	PSMB4	Proteasome subunit beta type-4	21	1.21	1.81	24/65	2	I	N
5692	PSMB4	Proteasome subunit beta type-4	7	0.70	1.10	24/65	2	II	Y
5692	PSMB4	Proteasome subunit beta type-4	10	0.85	1.30	24/65	2	III	Y
5693	PSMB5	Proteasome subunit beta type-5	27	1.18	2.07	28/65	2	I	Y
5693	PSMB5	Proteasome subunit beta type-5	29	1.22	2.07	28/65	2	I	N
5693	PSMB5	Proteasome subunit beta type-5	11	0.75	1.36	28/65	2	II	Y
5693	PSMB5	Proteasome subunit beta type-5	8	0.64	1.18	28/65	2	II	N
5693	PSMB5	Proteasome subunit beta type-5	10	0.73	1.31	28/65	2	III	Y
5693	PSMB5	Proteasome subunit beta type-5	9	0.68	1.25	28/65	2	III	N
5694	PSMB6	Proteasome subunit beta type-6	10	1.26	1.92	16/65	2	I	Y
5694	PSMB6	Proteasome subunit beta type-6	14	1.48	2.17	16/65	2	I	N
5694	PSMB6	Proteasome subunit beta type-6	3	0.69	1.14	16/65	2	II	Y
5694	PSMB6	Proteasome subunit beta type-6	3	0.70	1.15	16/65	2	III	Y
5695	PSMB7	Proteasome subunit beta type-7	14	3.40	3.19	7/65	2	I	Y
5695	PSMB7	Proteasome subunit beta type-7	19	3.95	3.60	7/65	2	I	N
5695	PSMB7	Proteasome subunit beta type-7	4	1.82	1.70	7/65	2	II	Y
5695	PSMB7	Proteasome subunit beta type-7	9	2.76	2.57	7/65	2	III	Y
5696	PSMB8	Isoform 2 of Proteasome subunit beta type-8	2	2.25	2.11	4/65	2	I	Y
5696	PSMB8	Isoform 2 of Proteasome subunit beta type-8	2	2.24	2.04	4/65	2	I	N
5700	PSMC1	26S protease regulatory subunit 4	37	1.55	2.90	25/65	2	I	Y
5700	PSMC1	26S protease regulatory subunit 4	29	1.37	2.50	25/65	2	I	N
5700	PSMC1	26S protease regulatory subunit 4	4	0.51	1.06	25/65	2	II	Y
5700	PSMC1	26S protease regulatory subunit 4	14	0.96	1.88	25/65	2	III	Y
5701	PSMC2	26S protease regulatory subunit 7	50	1.96	3.39	23/65	2	I	Y
5701	PSMC2	26S protease regulatory subunit 7	36	1.66	2.79	23/65	2	I	N
5701	PSMC2	26S protease regulatory subunit 7	6	0.68	1.29	23/65	2	II	N
5701	PSMC2	26S protease regulatory subunit 7	12	0.97	1.78	23/65	2	III	Y
5701	PSMC2	26S protease regulatory subunit 7	6	0.68	1.30	23/65	2	III	N
5702	PSMC3	26S protease regulatory subunit 6A	57	1.72	3.32	28/65	2	I	Y
5702	PSMC3	26S protease regulatory subunit 6A	45	1.52	2.85	28/65	2	I	N
5702	PSMC3	26S protease regulatory subunit 6A	7	0.60	1.26	28/65	2	II	Y
5702	PSMC3	26S protease regulatory subunit 6A	8	0.64	1.34	28/65	2	II	N
5702	PSMC3	26S protease regulatory subunit 6A	20	1.03	2.04	28/65	2	III	Y
5704	PSMC4	26S protease regulatory subunit 6B	37	2.76	3.88	14/65	2	I	Y
5704	PSMC4	26S protease regulatory subunit 6B	22	2.13	2.94	14/65	2	I	N
5704	PSMC4	26S protease regulatory subunit 6B	4	0.91	1.45	14/65	2	II	Y
5704	PSMC4	26S protease regulatory subunit 6B	3	0.79	1.27	14/65	2	II	N
5704	PSMC4	Isoform 2 of 26S protease regulatory subunit 6B	7	1.21	1.88	14/65	2	III	Y
5704	PSMC4	Isoform 2 of 26S protease regulatory subunit 6B	2	0.64	1.05	14/65	2	III	N
5705	PSMC5	26S protease regulatory subunit 8	54	1.87	3.54	25/65	2	I	Y
5705	PSMC5	26S protease regulatory subunit 8	42	1.65	3.04	25/65	2	I	N
5705	PSMC5	26S protease regulatory subunit 8	11	0.84	1.73	25/65	2	II	Y
5705	PSMC5	26S protease regulatory subunit 8	7	0.67	1.41	25/65	2	II	N
5705	PSMC5	26S protease regulatory subunit 8	16	1.03	2.06	25/65	2	III	Y
5705	PSMC5	26S protease regulatory subunit 8	6	0.62	1.32	25/65	2	III	N
5706	PSMC6	26S protease regulatory subunit 10B	24	1.20	2.12	26/65	2	I	Y
5706	PSMC6	26S protease regulatory subunit 10B	19	1.06	1.85	26/65	2	I	N
5706	PSMC6	26S protease regulatory subunit 10B	7	0.65	1.22	26/65	2	II	Y
5706	PSMC6	26S protease regulatory subunit 10B	6	0.61	1.15	26/65	2	III	Y
5707	PSMD1	26S proteasome non-ATPase regulatory subunit 1	54	2.12	4.07	22/65	2	I	Y
5707	PSMD1	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1	49	2.02	3.78	22/65	2	I	N
5707	PSMD1	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1	16	1.16	2.40	22/65	2	II	Y
5707	PSMD1	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1	14	1.08	2.26	22/65	2	II	N
5707	PSMD1	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1	23	1.40	2.83	22/65	2	III	Y
5707	PSMD1	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 1	7	0.76	1.65	22/65	2	III	N
5716	PSMD10	26S proteasome non-ATPase regulatory subunit 10	5	3.56	3.33	4/65	2	I	Y
5716	PSMD10	26S proteasome non-ATPase regulatory subunit 10	2	2.24	2.04	4/65	2	I	N
5717	PSMD11	26S proteasome non-ATPase regulatory subunit 11	40	2.01	3.33	20/65	2	I	Y
5717	PSMD11	26S proteasome non-ATPase regulatory subunit 11	44	2.11	3.39	20/65	2	I	N
5717	PSMD11	26S proteasome non-ATPase regulatory subunit 11	8	0.90	1.63	20/65	2	II	Y
5717	PSMD11	26S proteasome non-ATPase regulatory subunit 11	5	0.71	1.32	20/65	2	II	N
5717	PSMD11	26S proteasome non-ATPase regulatory subunit 11	15	1.25	2.18	20/65	2	III	Y
5718	PSMD12	26S proteasome non-ATPase regulatory subunit 12	38	1.87	3.28	21/65	2	I	Y
5718	PSMD12	26S proteasome non-ATPase regulatory subunit 12	37	1.84	3.15	21/65	2	I	N
5718	PSMD12	26S proteasome non-ATPase regulatory subunit 12	8	0.86	1.65	21/65	2	II	Y
5718	PSMD12	26S proteasome non-ATPase regulatory subunit 12	8	0.86	1.65	21/65	2	II	N
5718	PSMD12	26S proteasome non-ATPase regulatory subunit 12	15	1.19	2.19	21/65	2	III	Y
5718	PSMD12	26S proteasome non-ATPase regulatory subunit 12	3	0.53	1.05	21/65	2	III	N
5719	PSMD13	26S proteasome non-ATPase regulatory subunit 13	23	1.91	2.62	16/65	2	I	Y
5719	PSMD13	26S proteasome non-ATPase regulatory subunit 13	26	2.02	2.72	16/65	2	I	N
5719	PSMD13	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 13	4	0.80	1.21	16/65	2	II	Y
5719	PSMD13	26S proteasome non-ATPase regulatory subunit 13	9	1.19	1.73	16/65	2	II	N
5719	PSMD13	26S proteasome non-ATPase regulatory subunit 13	10	1.27	1.82	16/65	2	III	Y
5719	PSMD13	Isoform 2 of 26S proteasome non-ATPase regulatory subunit 13	3	0.69	1.07	16/65	2	III	N
10213	PSMD14	26S proteasome non-ATPase regulatory subunit 14	12	3.15	2.95	7/65	2	I	Y
10213	PSMD14	26S proteasome non-ATPase regulatory subunit 14	9	2.72	2.48	7/65	2	I	N
5708	PSMD2	26S proteasome non-ATPase regulatory subunit 2	67	2.17	4.09	24/65	2	I	Y
5708	PSMD2	26S proteasome non-ATPase regulatory subunit 2	54	1.94	3.59	24/65	2	I	N
5708	PSMD2	26S proteasome non-ATPase regulatory subunit 2	9	0.80	1.66	24/65	2	II	Y
5708	PSMD2	26S proteasome non-ATPase regulatory subunit 2	16	1.06	2.17	24/65	2	II	N
5708	PSMD2	26S proteasome non-ATPase regulatory subunit 2	19	1.17	2.35	24/65	2	III	Y
5708	PSMD2	26S proteasome non-ATPase regulatory subunit 2	5	0.59	1.26	24/65	2	III	N
5709	PSMD3	26S proteasome non-ATPase regulatory subunit 3	46	1.66	3.19	26/65	2	I	Y
5709	PSMD3	26S proteasome non-ATPase regulatory subunit 3	40	1.54	2.89	26/65	2	I	N
5709	PSMD3	26S proteasome non-ATPase regulatory subunit 3	6	0.60	1.27	26/65	2	II	Y
5709	PSMD3	26S proteasome non-ATPase regulatory subunit 3	7	0.65	1.36	26/65	2	II	N
5709	PSMD3	26S proteasome non-ATPase regulatory subunit 3	12	0.86	1.77	26/65	2	III	Y
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	21	3.65	4.00	8/65	2	I	Y
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	17	3.27	3.51	8/65	2	I	N
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	7	2.11	2.56	8/65	2	II	Y
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	8	2.25	2.70	8/65	2	II	N
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	7	2.13	2.58	8/65	2	III	Y
5710	PSMD4	26S proteasome non-ATPase regulatory subunit 4	4	1.59	2.07	8/65	2	III	N
5711	PSMD5	26S proteasome non-ATPase regulatory subunit 5	3	2.21	2.06	5/65	2	I	Y
5711	PSMD5	26S proteasome non-ATPase regulatory subunit 5	5	2.84	2.58	5/65	2	I	N
9861	PSMD6	26S proteasome non-ATPase regulatory subunit 6	35	4.71	4.50	8/65	2	I	Y
9861	PSMD6	26S proteasome non-ATPase regulatory subunit 6	19	3.46	3.37	8/65	2	I	N
9861	PSMD6	26S proteasome non-ATPase regulatory subunit 6	2	1.13	1.35	8/65	2	II	Y
9861	PSMD6	26S proteasome non-ATPase regulatory subunit 6	3	1.38	1.63	8/65	2	II	N
9861	PSMD6	26S proteasome non-ATPase regulatory subunit 6	5	1.80	2.05	8/65	2	III	Y
5713	PSMD7	26S proteasome non-ATPase regulatory subunit 7	17	1.87	2.45	14/65	2	I	Y
5713	PSMD7	26S proteasome non-ATPase regulatory subunit 7	8	1.28	1.72	14/65	2	I	N
5713	PSMD7	26S proteasome non-ATPase regulatory subunit 7	3	0.79	1.16	14/65	2	II	Y
5713	PSMD7	26S proteasome non-ATPase regulatory subunit 7	7	1.20	1.68	14/65	2	II	N
5713	PSMD7	26S proteasome non-ATPase regulatory subunit 7	9	1.38	1.87	14/65	2	III	Y
5713	PSMD7	26S proteasome non-ATPase regulatory subunit 7	3	0.79	1.16	14/65	2	III	N
5714	PSMD8	26S proteasome non-ATPase regulatory subunit 8	9	2.39	2.24	8/65	2	I	Y
5714	PSMD8	26S proteasome non-ATPase regulatory subunit 8	5	1.78	1.63	8/65	2	I	N
5714	PSMD8	26S proteasome non-ATPase regulatory subunit 8	3	1.39	1.39	8/65	2	III	Y
23198	PSME4	Proteasome activator complex subunit 4	2	1.80	1.68	5/65	2	I	Y
5834	PYGB	"Glycogen phosphorylase, brain form"	1	6.37	5.96	1/65	2	II	N
5887	RAD23B	UV excision repair protein RAD23 homolog B	2	3.00	2.81	3/65	2	I	Y
10179	RBM7	RNA-binding protein 7	1	2.12	1.99	3/65	2	I	Y
22895	RPH3A	Isoform 2 of Rabphilin-3A	3	11.03	10.32	1/65	2	I	Y
51065	RPS27L	40S ribosomal protein S27-like	3	1.58	1.47	7/65	2	II	N
10992	SF3B2	Splicing factor 3B subunit 2	2	1.50	1.40	6/65	2	I	Y
83733	SLC25A18	Mitochondrial glutamate carrier 2	2	1.00	0.94	9/65	2	III	N
10910	SUGT1	Isoform 2 of Suppressor of G2 allele of SKP1 homolog	2	1.29	1.20	7/65	2	II	N
10910	SUGT1	Isoform 2 of Suppressor of G2 allele of SKP1 homolog	4	1.84	1.71	7/65	2	III	Y
10607	TBL3	Transducin beta-like protein 3	2	1.13	1.05	8/65	2	I	Y
55346	TCP11L1	T-complex protein 11-like protein 1	3	3.68	3.44	3/65	2	I	Y
7057	THBS1	Thrombospondin-1	8	2.60	2.57	7/65	2	III	Y
79613	TMCO7	Transmembrane and coiled-coil domain-containing protein 7	2	9.00	8.43	1/65	2	II	N
79613	TMCO7	Transmembrane and coiled-coil domain-containing protein 7	1	6.43	6.00	1/65	2	III	Y
7112	TMPO	"Lamina-associated polypeptide 2, isoform alpha"	1	1.27	1.19	5/65	2	I	Y
54472	TOLLIP	Toll-interacting protein	1	2.12	1.92	3/65	2	I	N
347733	TUBB2B	Tubulin beta-2B chain	21	1.12	1.05	26/65	2	II	N
347733	TUBB2B	Tubulin beta-2B chain	19	1.07	1.01	26/65	2	III	N
9352	TXNL1	Thioredoxin-like protein 1	1	1.59	1.49	4/65	2	I	Y
63893	UBE2O	Ubiquitin-conjugating enzyme E2 O	2	0.91	1.14	10/65	2	III	Y
7337	UBE3A	Isoform I of Ubiquitin-protein ligase E3A	137	6.21	7.73	12/65	2	I	Y
7337	UBE3A	Isoform I of Ubiquitin-protein ligase E3A	190	7.30	9.02	12/65	2	I	N
7337	UBE3A	Isoform III of Ubiquitin-protein ligase E3A	95	5.17	6.30	12/65	2	II	Y
7337	UBE3A	Isoform III of Ubiquitin-protein ligase E3A	377	10.31	13.31	12/65	2	II	N
7337	UBE3A	Isoform III of Ubiquitin-protein ligase E3A	329	9.72	12.52	12/65	2	III	Y
7337	UBE3A	Isoform III of Ubiquitin-protein ligase E3A	156	6.63	8.37	12/65	2	III	N
9690	UBE3C	Ubiquitin-protein ligase E3C	9	2.12	2.08	9/65	2	I	Y
51377	UCHL5	Ubiquitin carboxyl-terminal hydrolase isozyme L5	11	3.52	3.33	6/65	2	I	Y
51377	UCHL5	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5	9	3.17	3.00	6/65	2	I	N
51377	UCHL5	Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5	2	1.52	1.79	6/65	2	III	Y
9097	USP14	Ubiquitin carboxyl-terminal hydrolase 14	42	20.63	19.31	2/65	2	II	Y
9097	USP14	Ubiquitin carboxyl-terminal hydrolase 14	9	9.55	9.03	2/65	2	II	N
9097	USP14	Ubiquitin carboxyl-terminal hydrolase 14	9	9.55	9.08	2/65	2	III	N
51096	UTP18	U3 small nucleolar RNA-associated protein 18 homolog	1	3.18	2.98	2/65	2	I	Y
9218	VAPA	Isoform 2 of Vesicle-associated membrane protein-associated protein A	1	1.29	1.20	5/65	2	III	Y
7408	VASP	Vasodilator-stimulated phosphoprotein	1	3.18	2.98	2/65	2	I	Y
7408	VASP	Vasodilator-stimulated phosphoprotein	2	4.50	4.21	2/65	2	II	N
7415	VCP	Transitional endoplasmic reticulum ATPase	4	0.58	1.51	22/65	2	I	Y
54904	WHSC1L1	Isoform 2 of Histone-lysine N-methyltransferase NSD3	3	3.71	4.40	3/65	2	III	Y
7763	ZFAND5	AN1-type zinc finger protein 5	4	6.37	5.96	2/65	2	I	Y
54469	ZFAND6	Isoform 2 of AN1-type zinc finger protein 6	1	3.18	2.98	2/65	2	I	Y
