geneID	symbol	descr	num_hek	num_sy5y	frac_occ	cell_lines	hcip_cutoff_sy5y
55662	HIF1AN	hypoxia inducible factor 1 alpha subunit inhibitor	12	3	1.0	b	95
3646	EIF3E	eukaryotic translation initiation factor 3 subunit E	6	0	0.5	h	NA
1973	EIF4A1	eukaryotic translation initiation factor 4A1	7	0	0.583333333333	h	NA
51071	DERA	deoxyribose-phosphate aldolase	4	0	0.333333333333	h	NA
9097	USP14	ubiquitin specific peptidase 14	4	3	1.0	b	95
64397	ZNF106	zinc finger protein 106	11	0	0.916666666667	h	NA
55700	MAP7D1	MAP7 domain containing 1	8	0	0.666666666667	h	NA
2965	GTF2H1	general transcription factor IIH subunit 1	2	0	0.166666666667	h	NA
4507	MTAP	methylthioadenosine phosphorylase	12	2	1.0	b	90
8604	SLC25A12	solute carrier family 25 member 12	3	0	0.25	h	NA
7408	VASP	vasodilator-stimulated phosphoprotein	0	2	0.333333333333	s	95
7077	TIMP2	TIMP metallopeptidase inhibitor 2	2	0	0.166666666667	h	NA
58526	MID1IP1	MID1 interacting protein 1	2	0	0.166666666667	h	NA
6576	SLC25A1	solute carrier family 25 member 1	4	0	0.333333333333	h	NA
10910	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone	8	2	1.0	b	90
2495	FTH1	ferritin heavy chain 1	6	0	0.5	h	NA
3008	HIST1H1E	histone cluster 1 H1 family member e	12	0	1.0	h	NA
552900	BOLA2	bolA family member 2	3	0	0.25	h	NA
4175	MCM6	minichromosome maintenance complex component 6	0	1	0.166666666667	s	95
4173	MCM4	minichromosome maintenance complex component 4	0	1	0.166666666667	s	90
22992	KDM2A	lysine demethylase 2A	1	1	1.0	b	90
8663	EIF3C	eukaryotic translation initiation factor 3 subunit C	12	3	1.0	b	90
8664	EIF3D	eukaryotic translation initiation factor 3 subunit D	7	0	0.583333333333	h	NA
9690	UBE3C	ubiquitin protein ligase E3C	11	1	1.0	b	90
5711	PSMD5	proteasome 26S subunit, non-ATPase 5	0	2	0.333333333333	s	95
5597	MAPK6	mitogen-activated protein kinase 6	12	0	1.0	h	NA
10213	PSMD14	proteasome 26S subunit, non-ATPase 14	12	2	1.0	b	95
84461	NEURL4	neuralized E3 ubiquitin protein ligase 4	12	5	1.0	b	95
8689	KRT36	keratin 36	2	0	0.166666666667	h	NA
6139	RPL17	ribosomal protein L17	8	0	0.666666666667	h	NA
347733	TUBB2B	tubulin beta 2B class IIb	0	2	0.333333333333	s	90
