geneID	Y2H_int	cell_lines	descr	frac_occ	hcip_cutoff_sy5y	num_hek	num_sy5y	source	symbol	synonyms
23223	None	None	ribosomal RNA processing 12 homolog	None	None	None	None	extended	RRP12	KIAA0690
3646	n	h	eukaryotic translation initiation factor 3 subunit E	0.5	NA	6	0	APMS_seed	EIF3E	EIF3-P48|EIF3S6|INT6|eIF3-p46
340527	None	None	NHS like 2	None	None	None	None	extended	NHSL2	-
23641	None	None	leucine zipper down-regulated in cancer 1	None	None	None	None	extended	LDOC1	BCUR1|Mar7|Mart7
8664	n	h	eukaryotic translation initiation factor 3 subunit D	0.583333333333	NA	7	0	APMS_seed	EIF3D	EIF3S7|eIF3-p66|eIF3-zeta
3065	None	None	histone deacetylase 1	None	None	None	None	extended	HDAC1	GON-10|HD1|RPD3|RPD3L1
6477	None	None	siah E3 ubiquitin protein ligase 1	None	None	None	None	extended	SIAH1	SIAH1A
8924	n	b	HECT and RLD domain containing E3 ubiquitin protein ligase 2	1.0	95	12	6	APMS_seed	HERC2	D15F37S1|MRT38|SHEP1|jdf2|p528
5597	n	h	mitogen-activated protein kinase 6	1.0	NA	12	0	APMS_seed	MAPK6	ERK3|HsT17250|PRKM6|p97MAPK
64753	None	None	coiled-coil domain containing 136	None	None	None	None	extended	CCDC136	NAG6
5901	n	h	RAN, member RAS oncogene family	0.25	NA	3	0	APMS_seed	RAN	ARA24|Gsp1|TC4
22954	None	None	tripartite motif containing 32	None	None	None	None	extended	TRIM32	BBS11|HT2A|LGMD2H|TATIP
91624	None	None	nexilin F-actin binding protein	None	None	None	None	extended	NEXN	CMH20|NELIN
11198	None	None	SPT16 homolog, facilitates chromatin remodeling subunit	None	None	None	None	extended	SUPT16H	CDC68|FACTP140|SPT16|SPT16/CDC68
1915	None	None	eukaryotic translation elongation factor 1 alpha 1	None	None	None	None	extended	EEF1A1	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1
3959	None	None	galectin 3 binding protein	None	None	None	None	extended	LGALS3BP	90K|BTBD17B|CyCAP|M2BP|MAC-2-BP|TANGO10B|gp90
55722	None	None	centrosomal protein 72	None	None	None	None	extended	CEP72	-
55093	None	None	WDYHV motif containing 1	None	None	None	None	extended	WDYHV1	C8orf32
8350	None	None	histone cluster 1 H3 family member a	None	None	None	None	extended	HIST1H3A	H3/A|H3FA
10455	n	b	enoyl-CoA delta isomerase 2	1.0	95	12	2	APMS_seed	ECI2	ACBD2|DRS-1|DRS1|HCA88|PECI|dJ1013A10.3
55723	None	None	anti-silencing function 1B histone chaperone	None	None	None	None	extended	ASF1B	CIA-II
11228	None	None	Ras association domain family member 8	None	None	None	None	extended	RASSF8	C12orf2|HOJ1
11224	None	None	ribosomal protein L35	None	None	None	None	extended	RPL35	L35
1937	None	None	eukaryotic translation elongation factor 1 gamma	None	None	None	None	extended	EEF1G	EF1G|GIG35
727851	None	None	RANBP2-like and GRIP domain containing 8	None	None	None	None	extended	RGPD8	RANBP2L1|RGP8|RanBP2alpha
4005	None	None	LIM domain only 2	None	None	None	None	extended	LMO2	RBTN2|RBTNL1|RHOM2|TTG2
134526	None	None	acyl-CoA thioesterase 12	None	None	None	None	extended	ACOT12	CACH-1|Cach|STARD15|THEAL
11043	None	None	midline 2	None	None	None	None	extended	MID2	FXY2|MRX101|RNF60|TRIM1
9657	None	None	IQ motif containing B1	None	None	None	None	extended	IQCB1	NPHP5|PIQ|SLSN5
10120	None	None	ARP1 actin-related protein 1 homolog B, centractin beta	None	None	None	None	extended	ACTR1B	ARP1B|CTRN2|PC3
1643	None	None	damage specific DNA binding protein 2	None	None	None	None	extended	DDB2	DDBB|UV-DDB2|XPE
4869	None	None	nucleophosmin	None	None	None	None	extended	NPM1	B23|NPM
5887	y	b_yeast	RAD23 homolog B, nucleotide excision repair protein	1.0	95	7	1	Y2H_APMS_seed	RAD23B	HHR23B|HR23B|P58
5886	y	yeast	RAD23 homolog A, nucleotide excision repair protein	0	NA	0	0	Y2H_seed	RAD23A	HHR23A|HR23A
23636	None	None	nucleoporin 62	None	None	None	None	extended	NUP62	IBSN|SNDI|p62
351	None	None	amyloid beta precursor protein	None	None	None	None	extended	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2
7508	None	None	XPC complex subunit, DNA damage recognition and repair factor	None	None	None	None	extended	XPC	RAD4|XP3|XPCC|p125
6125	None	None	ribosomal protein L5	None	None	None	None	extended	RPL5	DBA6|L5|MSTP030|PPP1R135
6124	None	None	ribosomal protein L4	None	None	None	None	extended	RPL4	L4
6122	None	None	ribosomal protein L3	None	None	None	None	extended	RPL3	ASC-1|L3|TARBP-B
6129	None	None	ribosomal protein L7	None	None	None	None	extended	RPL7	L7|humL7-1
22919	None	None	microtubule associated protein RP/EB family member 1	None	None	None	None	extended	MAPRE1	EB1
2783	None	None	G protein subunit beta 2	None	None	None	None	extended	GNB2	-
3192	None	None	heterogeneous nuclear ribonucleoprotein U	None	None	None	None	extended	HNRNPU	HNRNPU-AS1|HNRPU|SAF-A|SAFA|U21.1|hnRNP U
55768	None	None	N-glycanase 1	None	None	None	None	extended	NGLY1	CDDG|CDG1V|PNG1|PNGase
10142	None	None	A-kinase anchoring protein 9	None	None	None	None	extended	AKAP9	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO
137886	None	None	UBX domain protein 2B	None	None	None	None	extended	UBXN2B	p37
1627	None	None	drebrin 1	None	None	None	None	extended	DBN1	D0S117E
51474	None	None	LIM domain and actin binding 1	None	None	None	None	extended	LIMA1	EPLIN|SREBP3
6143	None	None	ribosomal protein L19	None	None	None	None	extended	RPL19	L19
6142	None	None	ribosomal protein L18a	None	None	None	None	extended	RPL18A	L18A
6141	None	None	ribosomal protein L18	None	None	None	None	extended	RPL18	L18
6147	None	None	ribosomal protein L23a	None	None	None	None	extended	RPL23A	L23A|MDA20
6146	None	None	ribosomal protein L22	None	None	None	None	extended	RPL22	EAP|HBP15|HBP15/L22|L22
2275	None	None	four and a half LIM domains 3	None	None	None	None	extended	FHL3	SLIM2
2058	None	None	glutamyl-prolyl-tRNA synthetase	None	None	None	None	extended	EPRS	EARS|GLUPRORS|PARS|PIG32|QARS|QPRS
255626	None	None	histone cluster 1 H2B family member a	None	None	None	None	extended	HIST1H2BA	H2BFU|STBP|TH2B|TSH2B|TSH2B.1|bA317E16.3
7322	None	None	ubiquitin conjugating enzyme E2 D2	None	None	None	None	extended	UBE2D2	E2(17)KB2|PUBC1|UBC4|UBC4/5|UBCH4|UBCH5B
23281	None	None	microtubule associated tumor suppressor candidate 2	None	None	None	None	extended	MTUS2	CAZIP|ICIS|KIAA0774|TIP150
23283	None	None	cleavage stimulation factor subunit 2 tau variant	None	None	None	None	extended	CSTF2T	CstF-64T
27158	None	None	NADPH dependent diflavin oxidoreductase 1	None	None	None	None	extended	NDOR1	NR1|bA350O14.9
9349	None	None	ribosomal protein L23	None	None	None	None	extended	RPL23	L23|rpL17
90060	None	None	coiled-coil domain containing 120	None	None	None	None	extended	CCDC120	JM11
9618	None	None	TNF receptor associated factor 4	None	None	None	None	extended	TRAF4	CART1|MLN62|RNF83
101929876	None	None	40S ribosomal protein S26	None	None	None	None	extended	LOC101929876	-
1974	None	None	eukaryotic translation initiation factor 4A2	None	None	None	None	extended	EIF4A2	BM-010|DDX2B|EIF4A|EIF4F|eIF-4A-II|eIF4A-II
1973	n	h	eukaryotic translation initiation factor 4A1	0.583333333333	NA	7	0	APMS_seed	EIF4A1	DDX2A|EIF-4A|EIF4A|eIF-4A-I|eIF4A-I
6169	None	None	ribosomal protein L38	None	None	None	None	extended	RPL38	L38
6168	None	None	ribosomal protein L37a	None	None	None	None	extended	RPL37A	L37A
6161	None	None	ribosomal protein L32	None	None	None	None	extended	RPL32	L32|PP9932
6160	None	None	ribosomal protein L31	None	None	None	None	extended	RPL31	L31
8607	None	None	RuvB like AAA ATPase 1	None	None	None	None	extended	RUVBL1	ECP-54|ECP54|INO80H|NMP 238|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A
1018	None	None	cyclin dependent kinase 3	None	None	None	None	extended	CDK3	-
79618	None	None	homeobox containing 1	None	None	None	None	extended	HMBOX1	HNF1LA|HOT1|PBHNF
5708	None	b	proteasome 26S subunit, non-ATPase 2	1.0	90	12	6	APMS_seed	PSMD2	P97|RPN1|S2|TRAP2
5709	None	b	proteasome 26S subunit, non-ATPase 3	1.0	90	12	5	APMS_seed	PSMD3	P58|RPN3|S3|TSTA2
5704	None	b	proteasome 26S subunit, ATPase 4	1.0	90	12	6	APMS_seed	PSMC4	MIP224|RPT3|S6|TBP-7|TBP7
5705	None	b	proteasome 26S subunit, ATPase 5	1.0	90	12	6	APMS_seed	PSMC5	S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG
5706	None	b	proteasome 26S subunit, ATPase 6	1.0	90	12	4	APMS_seed	PSMC6	CADP44|HEL-S-73|P44|SUG2|p42
5707	None	b	proteasome 26S subunit, non-ATPase 1	1.0	95	12	6	APMS_seed	PSMD1	P112|Rpn2|S1
5700	None	b	proteasome 26S subunit, ATPase 1	1.0	95	12	4	APMS_seed	PSMC1	P26S4|S4|p56
5701	None	b	proteasome 26S subunit, ATPase 2	1.0	90	12	5	APMS_seed	PSMC2	MSS1|Nbla10058|S7
5702	None	b	proteasome 26S subunit, ATPase 3	1.0	90	12	5	APMS_seed	PSMC3	TBP1
112714	None	None	tubulin alpha 3e	None	None	None	None	extended	TUBA3E	-
7791	None	None	zyxin	None	None	None	None	extended	ZYX	ESP-2|HED-2
1039	None	None	cerebellar degeneration related protein 2	None	None	None	None	extended	CDR2	CDR62|Yo
8661	None	None	eukaryotic translation initiation factor 3 subunit A	None	None	None	None	extended	EIF3A	EIF3|EIF3S10|P167|TIF32|eIF3-p170|eIF3-theta|p180|p185
8662	None	None	eukaryotic translation initiation factor 3 subunit B	None	None	None	None	extended	EIF3B	EIF3-ETA|EIF3-P110|EIF3-P116|EIF3S9|PRT1
8663	n	b	eukaryotic translation initiation factor 3 subunit C	1.0	90	12	3	APMS_seed	EIF3C	EIF3CL|EIF3S8|eIF3-p110
8665	None	None	eukaryotic translation initiation factor 3 subunit F	None	None	None	None	extended	EIF3F	EIF3S5|eIF3-p47
8666	None	None	eukaryotic translation initiation factor 3 subunit G	None	None	None	None	extended	EIF3G	EIF3-P42|EIF3S4|eIF3-delta|eIF3-p44
8667	None	None	eukaryotic translation initiation factor 3 subunit H	None	None	None	None	extended	EIF3H	EIF3S3|eIF3-gamma|eIF3-p40
8668	None	None	eukaryotic translation initiation factor 3 subunit I	None	None	None	None	extended	EIF3I	EIF3S2|PRO2242|TRIP-1|TRIP1|eIF3-beta|eIF3-p36
3840	None	None	karyopherin subunit alpha 4	None	None	None	None	extended	KPNA4	IPOA3|QIP1|SRP3
3842	None	None	transportin 1	None	None	None	None	extended	TNPO1	IPO2|KPNB2|MIP|MIP1|TRN
5696	None	s	proteasome subunit beta 8	0.333333333333	95	0	2	APMS_seed	PSMB8	ALDD|D6S216|D6S216E|JMP|LMP7|NKJO|PSMB5i|RING10
5694	None	b	proteasome subunit beta 6	1.0	90	12	4	APMS_seed	PSMB6	DELTA|LMPY|Y
8270	None	None	L antigen family member 3	None	None	None	None	extended	LAGE3	CVG5|DXS9879E|DXS9951E|ESO3|ITBA2|Pcc1
991	None	None	cell division cycle 20	None	None	None	None	extended	CDC20	CDC20A|bA276H19.3|p55CDC
9802	y	yeast	DAZ associated protein 2	0	NA	0	0	Y2H_seed	DAZAP2	PRTB
4141	None	None	methionyl-tRNA synthetase	None	None	None	None	extended	MARS	CMT2U|ILFS2|ILLD|METRS|MRS|MTRNS|SPG70
5914	None	None	retinoic acid receptor alpha	None	None	None	None	extended	RARA	NR1B1|RAR
5917	None	None	arginyl-tRNA synthetase	None	None	None	None	extended	RARS	ArgRS|DALRD1|HLD9
10241	None	None	calcium binding and coiled-coil domain 2	None	None	None	None	extended	CALCOCO2	NDP52
5885	None	None	RAD21 cohesin complex component	None	None	None	None	extended	RAD21	CDLS4|HR21|HRAD21|MCD1|NXP1|SCC1|hHR21
11047	None	None	adhesion regulating molecule 1	None	None	None	None	extended	ADRM1	ARM-1|ARM1|GP110
84970	None	None	chromosome 1 open reading frame 94	None	None	None	None	extended	C1orf94	-
79444	None	None	baculoviral IAP repeat containing 7	None	None	None	None	extended	BIRC7	KIAP|LIVIN|ML-IAP|MLIAP|RNF50
6128	None	None	ribosomal protein L6	None	None	None	None	extended	RPL6	L6|SHUJUN-2|TAXREB107|TXREB1
5688	None	b	proteasome subunit alpha 7	1.0	90	12	2	APMS_seed	PSMA7	C6|HEL-S-276|HSPC|RC6-1|XAPC7
5685	None	b	proteasome subunit alpha 4	1.0	90	12	2	APMS_seed	PSMA4	HC9|HsT17706|PSC9
5684	None	b	proteasome subunit alpha 3	1.0	90	12	2	APMS_seed	PSMA3	HC8|PSC3
5686	None	b	proteasome subunit alpha 5	1.0	90	12	2	APMS_seed	PSMA5	PSC5|ZETA
5683	None	b	proteasome subunit alpha 2	1.0	90	12	6	APMS_seed	PSMA2	HC3|MU|PMSA2|PSC2
5682	None	b	proteasome subunit alpha 1	1.0	90	12	5	APMS_seed	PSMA1	HC2|HEL-S-275|NU|PROS30
10006	None	None	abl interactor 1	None	None	None	None	extended	ABI1	ABI-1|ABLBP4|E3B1|NAP1BP|SSH3BP|SSH3BP1
9045	None	None	ribosomal protein L14	None	None	None	None	extended	RPL14	CAG-ISL-7|CTG-B33|L14|RL14|hRL14
51514	None	None	denticleless E3 ubiquitin protein ligase homolog	None	None	None	None	extended	DTL	CDT2|DCAF2|L2DTL|RAMP
6606	None	None	survival of motor neuron 1, telomeric	None	None	None	None	extended	SMN1	BCD541|GEMIN1|SMA|SMA1|SMA2|SMA3|SMA4|SMA@|SMN|SMNT|T-BCD541|TDRD16A
6607	None	None	survival of motor neuron 2, centromeric	None	None	None	None	extended	SMN2	BCD541|C-BCD541|GEMIN1|SMNC|TDRD16B
10856	None	None	RuvB like AAA ATPase 2	None	None	None	None	extended	RUVBL2	CGI-46|ECP-51|ECP51|INO80J|REPTIN|RVB2|TAP54-beta|TIH2|TIP48|TIP49B
1891	n	b	enoyl-CoA hydratase 1	1.0	95	12	2	APMS_seed	ECH1	HPXEL
9694	None	None	ER membrane protein complex subunit 2	None	None	None	None	extended	EMC2	KIAA0103|TTC35
30850	None	None	cerebellar degeneration related protein 2 like	None	None	None	None	extended	CDR2L	HUMPPA
55159	None	None	ring finger and WD repeat domain 3	None	None	None	None	extended	RFWD3	RNF201
3895	n	b	kinectin 1	1.0	95	7	1	APMS_seed	KTN1	CG1|KNT|MU-RMS-40.19
1457	None	None	casein kinase 2 alpha 1	None	None	None	None	extended	CSNK2A1	CK2A1|CKII|CSNK2A3|OCNDS
9203	None	None	zinc finger MYM-type containing 3	None	None	None	None	extended	ZMYM3	DXS6673E|MYM|XFIM|ZNF198L2|ZNF261
10286	None	None	breast carcinoma amplified sequence 2	None	None	None	None	extended	BCAS2	DAM1|SPF27|Snt309
23089	n	h	paternally expressed 10	0.583333333333	NA	7	0	APMS_seed	PEG10	EDR|HB-1|MEF3L|Mar2|Mart2|RGAG3
7408	n	s	vasodilator-stimulated phosphoprotein	0.333333333333	95	0	2	APMS_seed	VASP	-
7407	None	None	valyl-tRNA synthetase	None	None	None	None	extended	VARS	G7A|VARS1|VARS2
5689	None	b	proteasome subunit beta 1	1.0	90	12	3	APMS_seed	PSMB1	HC5|PMSB1|PSC5
80351	None	None	tankyrase 2	None	None	None	None	extended	TNKS2	ARTD6|PARP-5b|PARP-5c|PARP5B|PARP5C|TANK2|TNKL|pART6
9861	None	b	proteasome 26S subunit, non-ATPase 6	1.0	90	12	5	APMS_seed	PSMD6	Rpn7|S10|SGA-113M|p42A|p44S10
988	None	None	cell division cycle 5 like	None	None	None	None	extended	CDC5L	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1
3735	None	None	lysyl-tRNA synthetase	None	None	None	None	extended	KARS	CMTRIB|DFNB89|KARS1|KARS2|KRS
25842	None	None	anti-silencing function 1A histone chaperone	None	None	None	None	extended	ASF1A	CGI-98|CIA|HSPC146
441518	None	None	family with sequence similarity 127 member C	None	None	None	None	extended	FAM127C	CXX1c|MAR8B
4736	None	None	ribosomal protein L10a	None	None	None	None	extended	RPL10A	CSA19|Csa-19|L10A|NEDD6
5859	None	None	glutaminyl-tRNA synthetase	None	None	None	None	extended	QARS	GLNRS|MSCCA|PRO2195
6204	None	None	ribosomal protein S10	None	None	None	None	extended	RPS10	DBA9|S10
6205	None	None	ribosomal protein S11	None	None	None	None	extended	RPS11	S11
6206	None	None	ribosomal protein S12	None	None	None	None	extended	RPS12	S12
6207	None	None	ribosomal protein S13	None	None	None	None	extended	RPS13	S13
6201	None	None	ribosomal protein S7	None	None	None	None	extended	RPS7	DBA8|S7
6202	None	None	ribosomal protein S8	None	None	None	None	extended	RPS8	S8
6203	None	None	ribosomal protein S9	None	None	None	None	extended	RPS9	S9
6208	None	None	ribosomal protein S14	None	None	None	None	extended	RPS14	EMTB|S14
6156	None	None	ribosomal protein L30	None	None	None	None	extended	RPL30	L30
8498	None	None	RAN binding protein 3	None	None	None	None	extended	RANBP3	-
28988	None	None	drebrin like	None	None	None	None	extended	DBNL	ABP1|HIP-55|HIP55|SH3P7
51608	None	None	golgi to ER traffic protein 4	None	None	None	None	extended	GET4	C7orf20|CEE|CGI-20|TRC35
10422	None	None	UBA domain containing 1	None	None	None	None	extended	UBAC1	GBDR1|KPC2|UBADC1
387	None	None	ras homolog family member A	None	None	None	None	extended	RHOA	ARH12|ARHA|RHO12|RHOH12
6194	None	None	ribosomal protein S6	None	None	None	None	extended	RPS6	S6
6191	None	None	ribosomal protein S4, X-linked	None	None	None	None	extended	RPS4X	CCG2|DXS306|RPS4|S4|SCAR|SCR10
6193	None	None	ribosomal protein S5	None	None	None	None	extended	RPS5	S5
9184	None	None	BUB3, mitotic checkpoint protein	None	None	None	None	extended	BUB3	BUB3L|hBUB3
7203	None	None	chaperonin containing TCP1 subunit 3	None	None	None	None	extended	CCT3	CCT-gamma|CCTG|PIG48|TCP-1-gamma|TRIC5
6222	None	None	ribosomal protein S18	None	None	None	None	extended	RPS18	D6S218E|HKE3|KE-3|KE3|S18
6223	None	None	ribosomal protein S19	None	None	None	None	extended	RPS19	DBA|DBA1|S19
6227	None	None	ribosomal protein S21	None	None	None	None	extended	RPS21	HLDF|S21
6224	None	None	ribosomal protein S20	None	None	None	None	extended	RPS20	S20
6228	None	None	ribosomal protein S23	None	None	None	None	extended	RPS23	S23
9972	None	None	nucleoporin 153	None	None	None	None	extended	NUP153	HNUP153|N153
5048	None	None	platelet activating factor acetylhydrolase 1b regulatory subunit 1	None	None	None	None	extended	PAFAH1B1	LIS1|LIS2|MDCR|MDS|NudF|PAFAH
26071	None	None	family with sequence similarity 127 member B	None	None	None	None	extended	FAM127B	CXX1b|MAR8A
10693	None	None	chaperonin containing TCP1 subunit 6B	None	None	None	None	extended	CCT6B	CCT-zeta-2|CCTZ-2|Cctz2|TCP-1-zeta-2|TSA303
10694	None	None	chaperonin containing TCP1 subunit 8	None	None	None	None	extended	CCT8	C21orf112|Cctq|D21S246|PRED71
3092	None	None	huntingtin interacting protein 1	None	None	None	None	extended	HIP1	HIP-I|ILWEQ|SHON|SHONbeta|SHONgamma
6749	None	None	structure specific recognition protein 1	None	None	None	None	extended	SSRP1	FACT|FACT80|T160
830	None	None	capping actin protein of muscle Z-line alpha subunit 2	None	None	None	None	extended	CAPZA2	CAPPA2|CAPZ
653121	None	None	zinc finger and BTB domain containing 8A	None	None	None	None	extended	ZBTB8A	BOZF1|ZBTB8|ZNF916A
7159	y	yeast	tumor protein p53 binding protein 2	0	NA	0	0	Y2H_seed	TP53BP2	53BP2|ASPP2|BBP|P53BP2|PPP1R13A
1104	None	None	regulator of chromosome condensation 1	None	None	None	None	extended	RCC1	CHC1|RCC1-I|SNHG3-RCC1
1459	None	None	casein kinase 2 alpha 2	None	None	None	None	extended	CSNK2A2	CK2A2|CK2alpha'|CSNK2A1
4792	None	None	NFKB inhibitor alpha	None	None	None	None	extended	NFKBIA	IKBA|MAD-3|NFKBI
11258	None	None	dynactin subunit 3	None	None	None	None	extended	DCTN3	DCTN-22|DCTN22
93380	None	None	membrane magnesium transporter 1	None	None	None	None	extended	MMGT1	EMC5|TMEM32
9146	None	None	hepatocyte growth factor-regulated tyrosine kinase substrate	None	None	None	None	extended	HGS	HRS
54469	n	b	zinc finger AN1-type containing 6	1.0	95	2	1	APMS_seed	ZFAND6	AWP1|ZA20D3|ZFAND5B
1736	None	None	dyskerin pseudouridine synthase 1	None	None	None	None	extended	DKC1	CBF5|DKC|DKCX|NAP57|NOLA4|XAP101
23212	None	None	ribosome biogenesis regulator homolog	None	None	None	None	extended	RRS1	-
3921	n	h	ribosomal protein SA	0.416666666667	NA	5	0	APMS_seed	RPSA	37LRP|67LR|ICAS|LAMBR|LAMR1|LBP|LBP/p40|LRP|LRP/LR|NEM/1CHD4|SA|lamR|p40
9933	None	None	pumilio RNA binding family member 3	None	None	None	None	extended	PUM3	HA-8|HLA-HA8|KIAA0020|PEN|PUF-A|PUF6|XTP5
908	None	None	chaperonin containing TCP1 subunit 6A	None	None	None	None	extended	CCT6A	CCT-zeta|CCT-zeta-1|CCT6|Cctz|HTR3|MoDP-2|TCP-1-zeta|TCP20|TCPZ|TTCP20
8933	None	None	family with sequence similarity 127 member A	None	None	None	None	extended	FAM127A	CXX1|MAR8C|MART8C|Mar8|Mart8
1478	None	None	cleavage stimulation factor subunit 2	None	None	None	None	extended	CSTF2	CstF-64
5586	None	None	protein kinase N2	None	None	None	None	extended	PKN2	PAK2|PRK2|PRKCL2|PRO2042|Pak-2|STK7
6731	None	None	signal recognition particle 72	None	None	None	None	extended	SRP72	BMFF|BMFS1|HEL103
10651	None	None	metaxin 2	None	None	None	None	extended	MTX2	-
7917	None	None	BCL2 associated athanogene 6	None	None	None	None	extended	BAG6	BAG-6|BAT3|D6S52E|G3
5217	None	None	profilin 2	None	None	None	None	extended	PFN2	D3S1319E|PFL
6449	None	None	small glutamine rich tetratricopeptide repeat containing alpha	None	None	None	None	extended	SGTA	SGT|alphaSGT|hSGT
121441	None	None	neural precursor cell expressed, developmentally down-regulated 1	None	None	None	None	extended	NEDD1	GCP-WD|TUBGCP7
84220	None	None	RANBP2-like and GRIP domain containing 5	None	None	None	None	extended	RGPD5	BS-63|BS63|HEL161|RGP5
5567	None	None	protein kinase cAMP-activated catalytic subunit beta	None	None	None	None	extended	PRKACB	PKA C-beta|PKACB
27246	None	None	ring finger protein 115	None	None	None	None	extended	RNF115	BCA2|ZNF364
7283	None	None	tubulin gamma 1	None	None	None	None	extended	TUBG1	CDCBM4|GCP-1|TUBG|TUBGCP1
57019	None	None	cytokine induced apoptosis inhibitor 1	None	None	None	None	extended	CIAPIN1	Anamorsin|DRE2|PRO0915
22948	None	None	chaperonin containing TCP1 subunit 5	None	None	None	None	extended	CCT5	CCT-epsilon|CCTE|HEL-S-69|PNAS-102|TCP-1-epsilon
55388	None	None	minichromosome maintenance 10 replication initiation factor	None	None	None	None	extended	MCM10	CNA43|DNA43|PRO2249
